capacity,name,lat,station_id,lon
19,Wood St & Webster Ave,41.92105672992757,a3a83ba1-a135-11e9-9cda-0a87ae2ba916,-87.67279744148254
15,Woodlawn Ave & Lake Park Ave,41.81409271048,a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,-87.5970051479
15,St Louis Ave & 59th St,41.78589,1936552461714393094,-87.71057
11,Exchange Ave & 79th St,41.75211500633265,a3b2905a-a135-11e9-9cda-0a87ae2ba916,-87.55200700025293
23,Damen Ave & Thomas St (Augusta Blvd),41.901315,a3a75885-a135-11e9-9cda-0a87ae2ba916,-87.677409
16,Pulaski Rd & 60th Pl,41.78315,1992234898774407528,-87.72257
19,Sheffield Ave & Webster Ave,41.92154,a3aabad8-a135-11e9-9cda-0a87ae2ba916,-87.653818
39,Buckingham Fountain,41.876368,1862806445904101456,-87.6205586
15,Larrabee St & Menomonee St,41.91468,a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,-87.64332
15,Cannon Dr & Fullerton Ave,41.9267559875,a3a41004-a135-11e9-9cda-0a87ae2ba916,-87.6344287848
19,Damen Ave & Cortland St,41.915983,a3a80512-a135-11e9-9cda-0a87ae2ba916,-87.677335
15,Western Ave & Lunt Ave,42.0085943972,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,-87.6904922389
16,Loomis St & 95th St,41.72148,2013067286975627866,-87.65774
15,63rd St Beach,41.78091096424803,a3a547b8-a135-11e9-9cda-0a87ae2ba916,-87.57632374763489
15,Kedzie Ave & Palmer Ct,41.921525,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,-87.707322
11,Bennett Ave & 79th St,41.751785,a3b2862e-a135-11e9-9cda-0a87ae2ba916,-87.578496
15,Wood St & Chicago Ave,41.895634,a3b419d9-a135-11e9-9cda-0a87ae2ba916,-87.672069
11,Wells St & Institute Pl,41.89737986072316,90011328-f7bd-4b7b-8f95-8204a0b50f27,-87.63442039489746
15,Lincoln Ave & Byron St,41.952372,1799277526470631980,-87.677296
19,Sheridan Rd & Lawrence Ave,41.969517,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,-87.654691
11,Halsted St & 59th St,41.787539,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,-87.644874
15,Meade Ave & Fullerton Ave,41.924751,1934288718318207280,-87.778272
15,Long Ave & Diversey Ave,41.93104,1961472602929588766,-87.76124
15,Homan Ave & 26th St,41.84425,1975902497437067330,-87.70983
15,Grace St & Cicero Ave,41.94973,1936582560225114270,-87.74695
15,Knox Ave & Marquette Ave,41.77114,1945195957167804800,-87.73774
11,Mozart St & 55th St,41.79375,1966307477149012058,-87.69472
11,Kedzie Ave & 54th Pl,41.79431,1963359453732131538,-87.70348
11,Western Blvd & 48th Pl,41.805661,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,-87.683392
15,Lowell Ave & Armitage Ave,41.9170767,1929905600854819414,-87.7353543
15,Cottage Grove Ave & 51st St,41.803038,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,-87.606615
23,Western Ave & Walton St,41.89841768945,a3ac9d43-a135-11e9-9cda-0a87ae2ba916,-87.6865960164
11,Panama Ave & Grace St,41.94766,2010820263334840794,-87.82925
11,Kenton Ave & Madison St,41.88042,a3b13836-a135-11e9-9cda-0a87ae2ba916,-87.74108
15,Halsted St & 96th St,41.719712183618824,a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,-87.6430195569992
11,Jeffery Blvd & 67th St,41.77351755125,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,-87.5771428255
